,year,tournament country,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament.1,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total,RF_win
0,1998,Switzerland,"Basel, Switzerland",05.10.1998,WS,Hard,Draw: 32,1,396.0,"$9,800",R32,Andre Agassi (USA),8,"L 3-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1998&r=3&p=F324,Basel,R32,60,Andre Agassi,Roger Federer,Switzerland,4.0,2.0,31.0,53.0,20.0,31.0,7.0,22.0,4.0,8.0,8.0,5.0,24.0,9.0,26.0,1.0,2.0,9.0,27.0,53.0,14.0,50.0,41.0,103.0,Andre Agassi,United States,4.0,1.0,24.0,50.0,19.0,24.0,17.0,26.0,1.0,2.0,9.0,11.0,31.0,15.0,22.0,4.0,8.0,8.0,36.0,50.0,26.0,53.0,62.0,103.0,0
1,1998,France,"Toulouse, France",28.09.1998,WS,Hard,Draw: 32,59,878.0,"$10,800",R32,Guillaume Raoux (FRA),45,"W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=3&p=F324,Toulouse,R32,60,Roger Federer,Roger Federer,Switzerland,8.0,0.0,22.0,41.0,18.0,22.0,15.0,19.0,1.0,1.0,8.0,14.0,36.0,18.0,29.0,4.0,8.0,8.0,33.0,41.0,32.0,65.0,65.0,106.0,Guillaume Raoux,France,0.0,0.0,36.0,65.0,22.0,36.0,11.0,29.0,4.0,8.0,8.0,4.0,22.0,4.0,19.0,0.0,1.0,8.0,33.0,65.0,8.0,41.0,41.0,106.0,1
2,1998,France,"Toulouse, France",28.09.1998,WS,Hard,Draw: 32,59,878.0,"$10,800",R16,Richard Fromberg (AUS),43,"W 6-1, 7-6(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=4&p=F324,Toulouse,R16,85,Roger Federer,Roger Federer,Switzerland,8.0,3.0,43.0,73.0,32.0,43.0,18.0,30.0,4.0,4.0,10.0,9.0,39.0,20.0,36.0,2.0,10.0,9.0,50.0,73.0,29.0,75.0,79.0,148.0,Richard Fromberg,Australia,9.0,4.0,39.0,75.0,30.0,39.0,16.0,36.0,8.0,10.0,9.0,11.0,43.0,12.0,30.0,0.0,4.0,10.0,46.0,75.0,23.0,73.0,69.0,148.0,1
3,1998,France,"Toulouse, France",28.09.1998,WS,Hard,Draw: 32,59,878.0,"$10,800",Q,Jan Siemerink (NED),20,"L 6-7(5), 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1998&r=5&p=F324,Toulouse,Q,79,Jan Siemerink,Roger Federer,Switzerland,3.0,6.0,39.0,67.0,27.0,39.0,14.0,28.0,7.0,10.0,10.0,8.0,43.0,11.0,20.0,1.0,5.0,10.0,41.0,67.0,19.0,63.0,60.0,130.0,Jan Siemerink,Netherlands,5.0,1.0,43.0,63.0,35.0,43.0,9.0,20.0,4.0,5.0,10.0,12.0,39.0,14.0,28.0,3.0,10.0,10.0,44.0,63.0,26.0,67.0,70.0,130.0,0
4,1998,Switzerland,"Geneva, Switzerland",24.08.1998,CH,Clay,Draw: 32,1,680.0,$520,R32,Orlin Stanoytchev (BUL),124,"L 4-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=471&y=1998&r=3&p=F324,Geneva,R32,0,Orlin Stanoytchev,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Orlin Stanoytchev,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1998,Switzerland,"Gstaad, Switzerland",06.07.1998,WS,Clay,Draw: 32,1,702.0,"$5,250",R32,Lucas Arnold Ker (ARG),88,"L 4-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=1998&r=3&p=F324,Gstaad,R32,80,Lucas Arnold Ker,Roger Federer,Switzerland,1.0,3.0,36.0,74.0,24.0,36.0,15.0,38.0,1.0,5.0,10.0,17.0,46.0,7.0,16.0,2.0,3.0,10.0,39.0,74.0,24.0,62.0,63.0,136.0,Lucas Arnold Ker,Argentina,1.0,1.0,46.0,62.0,29.0,46.0,9.0,16.0,1.0,3.0,10.0,12.0,36.0,23.0,38.0,4.0,5.0,10.0,38.0,62.0,35.0,74.0,73.0,136.0,0
6,1999,France,"Brest, France",25.10.1999,CH,Hard,Draw: 32,78,66.0,"$14,400",R32,Lionel Roux (FRA),191,"W 6-3, 4-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=3&p=F324,Brest,R32,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Lionel Roux,France,,,,,,,,,,,,,,,,,,,,,,,,,1
7,1999,France,"Brest, France",25.10.1999,CH,Hard,Draw: 32,78,66.0,"$14,400",R16,Rodolphe Gilbert (FRA),180,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=4&p=F324,Brest,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Rodolphe Gilbert,France,,,,,,,,,,,,,,,,,,,,,,,,,1
8,1999,France,"Brest, France",25.10.1999,CH,Hard,Draw: 32,78,66.0,"$14,400",Q,Michael Llodra (FRA),333,"W 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=5&p=F324,Brest,Q,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Michael Llodra,France,,,,,,,,,,,,,,,,,,,,,,,,,1
9,1999,France,"Brest, France",25.10.1999,CH,Hard,Draw: 32,78,66.0,"$14,400",S,Martin Damm (CZE),134,"W 6-3, 7-6(4)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=6&p=F324,Brest,S,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Martin Damm,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,1
